음절,성별,순위,글자,음,훈
가,F,1,可,가,"옳을"
가,F,2,家,가,"집"
가,F,3,佳,가,"아름다울"
가,F,4,歌,가,"노래"
가,F,5,加,가,"더할"
가,F,6,架,가,"시렁"
경,F,1,經,경,"날"
경,F,2,慶,경,"경사"
경,F,3,景,경,"볕"
경,F,4,敬,경,"공경"
경,F,5,京,경,"서울"
경,F,6,更,경,"고칠"
고,F,1,高,고,"높을"
고,F,2,考,고,"생각할"
고,F,3,固,고,"굳을"
고,F,4,古,고,"옛"
고,F,5,顧,고,"돌아볼"
고,F,6,告,고,"고할"
규,F,1,圭,규,"홀"
규,F,2,規,규,"법"
규,F,3,奎,규,"별"
규,F,4,揆,규,"헤아릴"
규,F,5,珪,규,"홀"
규,F,6,葵,규,"해바라기"
나,F,1,羅,라,"그물"
나,F,2,娜,나,"아름다울"
나,F,3,那,나,"어찌"
나,F,4,拿,나,"잡을"
나,F,5,奈,나,"어찌"
나,F,6,柰,나,"어찌"
다,F,1,多,다,"많을"
다,F,2,茶,다,"차"
다,F,3,夛,다,"많을"
다,F,4,奲,다,"풍부할"
단,F,1,端,단,"끝"
단,F,2,單,단,"홑"
단,F,3,團,단,"둥글·경단"
단,F,4,段,단,"조각"
단,F,5,丹,단,"붉을"
단,F,6,壇,단,"제터"
담,F,1,炎,담,"아름다울"
담,F,2,擔,담,"멜"
담,F,3,淡,담,"맑을"
담,F,4,談,담,"말씀"
담,F,5,潭,담,"못"
담,F,6,澹,담,"맑을"
도,F,1,道,도,"길"
도,F,2,度,도,"법도"
도,F,3,徒,도,"무리"
도,F,4,都,도,"도읍"
도,F,5,到,도,"이를"
도,F,6,圖,도,"그림"
라,F,1,羅,라,"그물"
라,F,2,蘿,라,"쑥"
라,F,3,螺,라,"소라"
라,F,4,喇,라,"나팔"
라,F,5,邏,라,"순라"
라,F,6,蓏,라,"열매"
람,F,1,藍,람,"쪽"
람,F,2,覽,람,"볼"
람,F,3,嵐,람,"남기"
람,F,4,攬,람,"가질"
람,F,5,籃,람,"대바구니"
람,F,6,纜,람,"닻줄"
랑,F,1,浪,랑,"물결"
랑,F,2,娘,랑,"여자"
랑,F,3,琅,랑,"옥돌"
랑,F,4,瑯,랑,"옥돌"
랑,F,5,烺,랑,"밝게 빛나는 모양"
랑,F,6,榔,랑,"나무 이름"
려,F,1,麗,려,"고울"
려,F,2,慮,려,"생각할"
려,F,3,旅,려,"나그네"
려,F,4,黎,려,"검을"
려,F,5,廬,려,"농막집"
려,F,6,勵,려,"힘쓸"
로,F,1,露,로,"이슬"
로,F,2,路,로,"길"
로,F,3,勞,로,"일할"
로,F,4,盧,로,"목로"
로,F,5,鹵,로,"소금"
로,F,6,爐,로,"화로"
루,F,1,婁,루,"끌"
루,F,2,樓,루,"다락"
루,F,3,屢,루,"여러"
루,F,4,壘,루,"보루"
루,F,5,鏤,루,"새길"
루,F,6,縷,루,"실"
름,F,1,凜,름,"찰"
름,F,2,廩,름,"곳집"
름,F,3,凛,름,"찰"
름,F,4,澟,름,"서늘할"
리,F,1,李,리,"오얏"
리,F,2,理,리,"다스릴"
리,F,3,利,리,"날카로울"
리,F,4,裏,리,"속"
리,F,5,履,리,"밟을·신"
리,F,6,里,리,"마을·속"
린,F,1,潾,린,"맑을"
린,F,2,隣,린,"이웃"
린,F,3,璘,린,"옥빛"
린,F,4,麟,린,"기린"
린,F,5,鱗,린,"비늘"
린,F,6,藺,린,"골풀"
림,F,1,林,림,"수풀"
림,F,2,臨,림,"임할"
림,F,3,琳,림,"옥"
림,F,4,碄,림,"깊은 모양"
림,F,5,棽,림,"무성할"
림,F,6,玪,림,"옥"
미,F,1,美,미,"아름다울"
미,F,2,微,미,"작을"
미,F,3,味,미,"맛"
미,F,4,彌,미,"미륵·두루"
미,F,5,米,미,"쌀"
미,F,6,薇,미,"장미"
민,F,1,珉,민,"옥돌"
민,F,2,民,민,"백성"
민,F,3,旻,민,"가을 하늘"
민,F,4,旼,민,"화할·하늘"
민,F,5,敏,민,"민첩할"
민,F,6,玟,민,"아름다운 돌"
별,F,1,別,별,"나눌·다를"
별,F,2,瞥,별,"깜짝할"
별,F,3,鷩,별,"금계"
별,F,4,莂,별,"모종 낼"
별,F,5,襒,별,"털"
별,F,6,炦,별,"불기운"
보,F,1,寶,보,"보배"
보,F,2,報,보,"갚을"
보,F,3,補,보,"기울"
보,F,4,保,보,"지킬·포대기"
보,F,5,普,보,"넓을"
보,F,6,步,보,"걸음"
비,F,1,飛,비,"날"
비,F,2,比,비,"견줄"
비,F,3,備,비,"갖출"
비,F,4,批,비,"비평할"
비,F,5,費,비,"쓸·땅 이름"
비,F,6,秘,비,"숨길"
빈,F,1,彬,빈,"빛날"
빈,F,2,斌,빈,"빛날"
빈,F,3,頻,빈,"자주"
빈,F,4,濱,빈,"물가"
빈,F,5,浜,빈,"물가"
빈,F,6,玭,빈,"옥"
사,F,1,事,사,"일"
사,F,2,師,사,"스승"
사,F,3,使,사,"하여금·부릴"
사,F,4,辭,사,"말씀"
사,F,5,社,사,"토지신"
사,F,6,思,사,"생각"
새,F,1,塞,새,"변방"
새,F,2,璽,새,"옥새"
서,F,1,瑞,서,"상서"
서,F,2,書,서,"글"
서,F,3,徐,서,"천천히 할"
서,F,4,序,서,"차례"
서,F,5,敍,서,"차례"
서,F,6,西,서,"서녘"
선,F,1,善,선,"착할"
선,F,2,宣,선,"베풀"
선,F,3,鮮,선,"고울·적을"
선,F,4,先,선,"먼저"
선,F,5,船,선,"배"
선,F,6,禪,선,"물려줄"
설,F,1,說,설,"말씀"
설,F,2,雪,설,"눈"
설,F,3,設,설,"베풀"
설,F,4,契,설,"사람 이름"
설,F,5,薛,설,"맑은대쑥"
설,F,6,齧,설,"물"
성,F,1,成,성,"이룰"
성,F,2,性,성,"성품"
성,F,3,聖,성,"성인"
성,F,4,星,성,"별"
성,F,5,城,성,"재"
성,F,6,省,성,"살필"
세,F,1,世,세,"인간·대"
세,F,2,歲,세,"해"
세,F,3,勢,세,"형세"
세,F,4,洗,세,"씻을"
세,F,5,細,세,"가늘"
세,F,6,洒,세,"씻을"
소,F,1,素,소,"본디·흴"
소,F,2,所,소,"바"
소,F,3,疏,소,"소통할"
소,F,4,小,소,"작을"
소,F,5,昭,소,"밝을"
소,F,6,笑,소,"웃음"
솔,F,1,乺,솔,"땅이름"
송,F,1,宋,송,"송나라"
송,F,2,送,송,"보낼"
송,F,3,松,송,"소나무·더벅머리"
송,F,4,頌,송,"기릴"
송,F,5,誦,송,"외울"
송,F,6,淞,송,"강 이름"
수,F,1,數,수,"셈"
수,F,2,秀,수,"빼어날"
수,F,3,水,수,"물"
수,F,4,修,수,"닦을"
수,F,5,壽,수,"목숨"
수,F,6,遂,수,"드디어·따를"
슬,F,1,瑟,슬,"큰 거문고"
슬,F,2,璱,슬,"옥 무늬 고운 모양"
승,F,1,勝,승,"이길"
승,F,2,承,승,"이을"
승,F,3,昇,승,"오를"
승,F,4,乘,승,"탈"
승,F,5,繩,승,"노끈"
승,F,6,升,승,"되·오를"
시,F,1,是,시,"이·옳을"
시,F,2,時,시,"때"
시,F,3,施,시,"베풀"
시,F,4,始,시,"비로소"
시,F,5,示,시,"보일"
시,F,6,視,시,"볼"
아,F,1,我,아,"나"
아,F,2,雅,아,"맑을·바를"
아,F,3,娥,아,"예쁠"
아,F,4,兒,아,"아이"
아,F,5,亞,아,"버금"
아,F,6,阿,아,"언덕"
안,F,1,安,안,"편안"
안,F,2,案,안,"책상"
안,F,3,顔,안,"낯"
안,F,4,按,안,"누를"
안,F,5,岸,안,"언덕"
안,F,6,晏,안,"늦을"
여,F,1,麗,려,"고울"
여,F,2,慮,려,"생각할"
여,F,3,旅,려,"나그네"
여,F,4,黎,려,"검을"
여,F,5,廬,려,"농막집"
여,F,6,勵,려,"힘쓸"
연,F,1,延,연,"늘일"
연,F,2,然,연,"불탈·그럴"
